Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Province,Marker
Education,University Diploma,2018,fv1fvol,0.5516281515112517,4.8051503468127414,0.4996762445677741,0.6035800584547292,714,Formal volunteer flag,Volunteer rate,BC,NA,NA
Education,Less than High School,2018,fv1fvol,0.41268472925952937,7.1767665998510175,0.35463565311264666,0.4707338054064121,377,Formal volunteer flag,Volunteer rate,ON,NA,NA
Education,Graduated from High school,2018,fv1fvol,0.33112594112041405,6.654004046008688,0.2879417929555599,0.3743100892852682,888,Formal volunteer flag,Volunteer rate,ON,NA,NA
Education,Post-secondary diploma,2018,fv1fvol,0.36748986723959304,4.586513332322408,0.3344547296376326,0.40052500484155346,1331,Formal volunteer flag,Volunteer rate,ON,NA,NA
Education,University Diploma,2018,fv1fvol,0.4998702335322719,3.8351652587842886,0.4622960588897856,0.5374444081747581,1471,Formal volunteer flag,Volunteer rate,ON,NA,NA
Education,Less than High School,2018,fv1fvol,0.46422860879841765,9.439787027625693,0.3783386907707328,0.5501185268261025,235,Formal volunteer flag,Volunteer rate,PR,NA,NA
Education,Graduated from High school,2018,fv1fvol,0.4636643040883433,6.393290374174308,0.4055642972785661,0.5217643108981204,569,Formal volunteer flag,Volunteer rate,PR,NA,NA
Education,Post-secondary diploma,2018,fv1fvol,0.4970778938576218,4.97432376784235,0.4486153073004403,0.5455404804148033,643,Formal volunteer flag,Volunteer rate,PR,NA,NA
Education,University Diploma,2018,fv1fvol,0.6303868878041669,4.517875667927248,0.5745669257248168,0.6862068498835169,458,Formal volunteer flag,Volunteer rate,PR,NA,NA
Education,Less than High School,2018,fv1fvol,0.23277673942555255,12.963253187181904,0.17363396754633648,0.2919195113047686,250,Formal volunteer flag,Volunteer rate,QC,NA,NA
Education,Graduated from High school,2018,fv1fvol,0.27050927447326983,11.774437925902856,0.20808256625069751,0.3329359826958421,394,Formal volunteer flag,Volunteer rate,QC,NA,NA
Education,Post-secondary diploma,2018,fv1fvol,0.3057816893164709,7.115268054271702,0.2631383866742981,0.3484249919586436,677,Formal volunteer flag,Volunteer rate,QC,NA,NA
Education,University Diploma,2018,fv1fvol,0.4501612204139288,5.915283261563598,0.39797068925526535,0.5023517515725923,552,Formal volunteer flag,Volunteer rate,QC,NA,NA
Marital status (original),Married,2018,fv1fvol,0.4791245128222175,4.478215865174334,0.437071074881806,0.5211779507626291,786,Formal volunteer flag,Volunteer rate,AB,NA,NA
Marital status (original),Living common-law,2018,fv1fvol,0.34904314661465075,16.1310919331901,0.23868841154692477,0.4593978816823767,95,Formal volunteer flag,Volunteer rate,AB,NA,NA
Marital status (original),Widowed,2018,fv1fvol,0.5241500630777698,14.116000872959372,0.3791342339664623,0.6691658921890773,81,Formal volunteer flag,Volunteer rate,AB,NA,NA
Marital status (original),Separated,2018,fv1fvol,0.6210983597481602,14.695203573906872,0.4422091769552665,0.7999875425410539,39,Formal volunteer flag,Volunteer rate,AB,NA,NA
Marital status (original),Divorced,2018,fv1fvol,0.43429780130767337,13.421354174371272,0.320054154273452,0.5485414483418947,134,Formal volunteer flag,Volunteer rate,AB,NA,NA
Marital status (original),"Single, never married",2018,fv1fvol,0.4306738497593834,10.459948490778617,0.3423808770110434,0.5189668225077233,277,Formal volunteer flag,Volunteer rate,AB,NA,NA
Marital status (original),Married,2018,fv1fvol,0.4924271418031611,2.733478395725359,0.4660452630949618,0.5188090205113604,2098,Formal volunteer flag,Volunteer rate,AT,NA,NA
Marital status (original),Living common-law,2018,fv1fvol,0.3807242687405432,8.993911462330269,0.31361117483564155,0.4478373626454449,343,Formal volunteer flag,Volunteer rate,AT,NA,NA
Marital status (original),Widowed,2018,fv1fvol,0.3115589067314636,9.427991505425334,0.2539874200088462,0.36913039345408094,410,Formal volunteer flag,Volunteer rate,AT,NA,NA
Marital status (original),Separated,2018,fv1fvol,0.34661283490331607,14.258265079320346,0.24974950029558135,0.44347616951105073,139,Formal volunteer flag,Volunteer rate,AT,NA,NA
Marital status (original),Divorced,2018,fv1fvol,0.383669334951261,9.391363399346734,0.31304834091807,0.454290328984452,310,Formal volunteer flag,Volunteer rate,AT,NA,NA
Marital status (original),"Single, never married",2018,fv1fvol,0.4217678266687566,6.7104501756062085,0.3662959070609528,0.4772397462765604,748,Formal volunteer flag,Volunteer rate,AT,NA,NA
Marital status (original),Married,2018,fv1fvol,0.4776052188107591,4.341005145564681,0.436969545951346,0.5182408916701723,1094,Formal volunteer flag,Volunteer rate,BC,NA,NA
Marital status (original),Living common-law,2018,fv1fvol,0.43000342317335255,10.073394119867045,0.34510574170830216,0.5149011046384029,181,Formal volunteer flag,Volunteer rate,BC,NA,NA
Marital status (original),Widowed,2018,fv1fvol,0.31318654258458273,13.45610497558881,0.23058834889205132,0.39578473627711414,189,Formal volunteer flag,Volunteer rate,BC,NA,NA
Marital status (original),Separated,2018,fv1fvol,0.35154690883443374,23.982891059392056,0.1863001654878089,0.5167936521810585,55,Formal volunteer flag,Volunteer rate,BC,NA,*
Marital status (original),Divorced,2018,fv1fvol,0.41123300430954246,10.43908298495152,0.32709379943607725,0.4953722091830077,210,Formal volunteer flag,Volunteer rate,BC,NA,NA
Marital status (original),"Single, never married",2018,fv1fvol,0.4028005710401508,8.28277247550831,0.33741018516048,0.46819095691982154,448,Formal volunteer flag,Volunteer rate,BC,NA,NA
Marital status (original),Married,2018,fv1fvol,0.4214749040556072,3.0240969051645226,0.3964935764238019,0.4464562316874125,2304,Formal volunteer flag,Volunteer rate,ON,NA,NA
Marital status (original),Living common-law,2018,fv1fvol,0.3932727253123097,9.957712775059177,0.31651863763047433,0.4700268129941451,282,Formal volunteer flag,Volunteer rate,ON,NA,NA
Marital status (original),Widowed,2018,fv1fvol,0.30953410646700463,8.485464500511055,0.2580548552540941,0.3610133576799152,362,Formal volunteer flag,Volunteer rate,ON,NA,NA
Marital status (original),Separated,2018,fv1fvol,0.39587640462474943,11.62821687552174,0.3056526634356145,0.4861001458138844,158,Formal volunteer flag,Volunteer rate,ON,NA,NA
Marital status (original),Divorced,2018,fv1fvol,0.39350316317244743,8.173879335556006,0.3304619530617118,0.4565443732831831,352,Formal volunteer flag,Volunteer rate,ON,NA,NA
Marital status (original),"Single, never married",2018,fv1fvol,0.4305572179667354,5.511336764379352,0.38404833443292874,0.4770661015005421,888,Formal volunteer flag,Volunteer rate,ON,NA,NA
Marital status (original),Married,2018,fv1fvol,0.5288907073240645,3.3880259023461456,0.49377020253132786,0.5640112121168012,1088,Formal volunteer flag,Volunteer rate,PR,NA,NA
Marital status (original),Living common-law,2018,fv1fvol,0.46853699321624426,10.13326904571402,0.37548159952381127,0.5615923869086772,143,Formal volunteer flag,Volunteer rate,PR,NA,NA
Marital status (original),Widowed,2018,fv1fvol,0.3530848077576281,10.005437203171518,0.2838438298205343,0.4223257856947219,215,Formal volunteer flag,Volunteer rate,PR,NA,NA
Marital status (original),Separated,2018,fv1fvol,0.3795613345203686,23.92689064271932,0.20156284349635367,0.5575598255443835,66,Formal volunteer flag,Volunteer rate,PR,NA,*
Marital status (original),Divorced,2018,fv1fvol,0.4398492781019529,11.413637522695351,0.34145359377141815,0.5382449624324875,180,Formal volunteer flag,Volunteer rate,PR,NA,NA
Marital status (original),"Single, never married",2018,fv1fvol,0.5594166473463579,5.684101451461905,0.4970940854068957,0.62173920928582,461,Formal volunteer flag,Volunteer rate,PR,NA,NA
Marital status (original),Married,2018,fv1fvol,0.28524394911583456,6.55335777866494,0.24860623156085815,0.321881666670811,713,Formal volunteer flag,Volunteer rate,QC,NA,NA
Marital status (original),Living common-law,2018,fv1fvol,0.35160496649092493,7.480387005689196,0.3000551457878832,0.40315478719396663,443,Formal volunteer flag,Volunteer rate,QC,NA,NA
Marital status (original),Widowed,2018,fv1fvol,0.19873558459523327,16.440516802476992,0.13469737326537173,0.2627737959250948,164,Formal volunteer flag,Volunteer rate,QC,NA,NA
Marital status (original),Separated,2018,fv1fvol,0.258198885711763,24.64213714873704,0.13349475909559777,0.3829030123279283,60,Formal volunteer flag,Volunteer rate,QC,NA,*
Marital status (original),Divorced,2018,fv1fvol,0.3799445816701816,11.24729196001215,0.2961885070180722,0.463700656322291,194,Formal volunteer flag,Volunteer rate,QC,NA,NA
Marital status (original),"Single, never married",2018,fv1fvol,0.3791232630885009,8.446866126036056,0.31635730885677177,0.44188921732023007,439,Formal volunteer flag,Volunteer rate,QC,NA,NA
Labour force status,Employed,2018,fv1fvol,0.4277629353870291,5.167563616395138,0.38443808475152674,0.47108778602253143,831,Formal volunteer flag,Volunteer rate,AB,NA,NA
Labour force status,Unemployed,2018,fv1fvol,0.49469094664622265,19.65372631475076,0.3041330469316017,0.6852488463608436,44,Formal volunteer flag,Volunteer rate,AB,NA,*
Labour force status,Not in labour force,2018,fv1fvol,0.47664670278078625,6.884430465166489,0.4123316394046787,0.5409617661568937,416,Formal volunteer flag,Volunteer rate,AB,NA,NA
Labour force status,Unable to determine,2018,fv1fvol,0.6056299981735512,9.759058302477808,0.48978870897019666,0.7214712873769058,121,Formal volunteer flag,Volunteer rate,AB,NA,NA
Labour force status,Employed,2018,fv1fvol,0.44251886433968846,3.282126812497995,0.41405228804748495,0.470985440631892,1999,Formal volunteer flag,Volunteer rate,AT,NA,NA
Labour force status,Unemployed,2018,fv1fvol,0.4724640049943042,20.606310957157476,0.2816470033875754,0.663281006601033,65,Formal volunteer flag,Volunteer rate,AT,NA,*
Labour force status,Not in labour force,2018,fv1fvol,0.4128262895392843,4.006352996224482,0.3804098995054912,0.4452426795730774,1550,Formal volunteer flag,Volunteer rate,AT,NA,NA
Labour force status,Unable to determine,2018,fv1fvol,0.5366593086786611,6.356829744973466,0.46979608094475994,0.6035225364125623,434,Formal volunteer flag,Volunteer rate,AT,NA,NA
Labour force status,Employed,2018,fv1fvol,0.44481941153209065,4.1486878626713155,0.4086499050508787,0.48098891801330257,1196,Formal volunteer flag,Volunteer rate,BC,NA,NA
Labour force status,Unemployed,2018,fv1fvol,0.4224795348323112,23.63203861440545,0.22679569808812225,0.6181633715765003,40,Formal volunteer flag,Volunteer rate,BC,NA,*
Labour force status,Not in labour force,2018,fv1fvol,0.41931362064712135,5.894340214287276,0.370871598920052,0.4677556423741907,780,Formal volunteer flag,Volunteer rate,BC,NA,NA
Labour force status,Unable to determine,2018,fv1fvol,0.4764803723876183,12.825493770576063,0.35670509078892815,0.5962556539863084,161,Formal volunteer flag,Volunteer rate,BC,NA,NA
Labour force status,Employed,2018,fv1fvol,0.40802696481692574,3.3252575538479325,0.3814342764329443,0.4346196532009072,2358,Formal volunteer flag,Volunteer rate,ON,NA,NA
Labour force status,Unemployed,2018,fv1fvol,0.3964793115271727,16.660988675313646,0.26700923915458374,0.5259493838997616,118,Formal volunteer flag,Volunteer rate,ON,NA,*
Labour force status,Not in labour force,2018,fv1fvol,0.4049853726911226,4.134354452692703,0.3721686553714104,0.43780209001083487,1578,Formal volunteer flag,Volunteer rate,ON,NA,NA
Labour force status,Unable to determine,2018,fv1fvol,0.5557805493744935,7.02192390228414,0.4792900399394652,0.6322710588095218,292,Formal volunteer flag,Volunteer rate,ON,NA,NA
Labour force status,Employed,2018,fv1fvol,0.5424213039303385,3.262119647102631,0.5077408546293024,0.5771017532313746,1160,Formal volunteer flag,Volunteer rate,PR,NA,NA
Labour force status,Unemployed,2018,fv1fvol,0.319552260569833,33.23650843835129,0.11138837816380869,0.5277161429758573,29,Formal volunteer flag,Volunteer rate,PR,NA,*
Labour force status,Not in labour force,2018,fv1fvol,0.4454856400767159,5.7923613758970705,0.39491045864871577,0.4960608215047161,738,Formal volunteer flag,Volunteer rate,PR,NA,NA
Labour force status,Unable to determine,2018,fv1fvol,0.5765575407893706,7.905571478527741,0.4872220521162906,0.6658930294624505,226,Formal volunteer flag,Volunteer rate,PR,NA,NA
Labour force status,Employed,2018,fv1fvol,0.3341808689161259,5.697061908887579,0.2968661122561077,0.3714956255761442,1043,Formal volunteer flag,Volunteer rate,QC,NA,NA
Labour force status,Unemployed,2018,fv1fvol,0.3623841035976718,22.77979719700424,0.20058836349448195,0.5241798437008617,52,Formal volunteer flag,Volunteer rate,QC,NA,*
Labour force status,Not in labour force,2018,fv1fvol,0.2972940363540986,6.912124528276202,0.2570180817922638,0.3375699909159334,762,Formal volunteer flag,Volunteer rate,QC,NA,NA
Labour force status,Unable to determine,2018,fv1fvol,0.35367210497764173,14.002598214670057,0.2566082522210128,0.45073595773427066,156,Formal volunteer flag,Volunteer rate,QC,NA,NA
Personal income category,"Less than $25,000",2018,fv1fvol,0.4553278823926502,8.14414418261505,0.38264740181649504,0.5280083629688054,326,Formal volunteer flag,Volunteer rate,AB,NA,NA
Personal income category,"$25,000 to $49,999",2018,fv1fvol,0.4177595928359325,8.290794094997327,0.34987508845046467,0.48564409722140023,369,Formal volunteer flag,Volunteer rate,AB,NA,NA
Personal income category,"$50,000 to $74,999",2018,fv1fvol,0.4191074951351981,8.695456540684582,0.34767991986523683,0.4905350704051594,303,Formal volunteer flag,Volunteer rate,AB,NA,NA
Personal income category,"$75,000 to $99,999",2018,fv1fvol,0.504306396708262,10.410365878746422,0.4014080110723742,0.6072047823441499,159,Formal volunteer flag,Volunteer rate,AB,NA,NA
Personal income category,"$100,000 to $124,999",2018,fv1fvol,0.605057642320419,9.095007095155,0.4972007546747718,0.7129145299660662,115,Formal volunteer flag,Volunteer rate,AB,NA,NA
Personal income category,"$125,000 and more",2018,fv1fvol,0.5294340788556765,9.449420915985923,0.4313801096693371,0.6274880480420159,140,Formal volunteer flag,Volunteer rate,AB,NA,NA
Personal income category,"Less than $25,000",2018,fv1fvol,0.4137722698477747,4.842129798942634,0.37450362629057593,0.4530409134049735,1219,Formal volunteer flag,Volunteer rate,AT,NA,NA
Personal income category,"$25,000 to $49,999",2018,fv1fvol,0.41381958593986046,4.526059692571595,0.3771100064001805,0.45052916547954047,1313,Formal volunteer flag,Volunteer rate,AT,NA,NA
Personal income category,"$50,000 to $74,999",2018,fv1fvol,0.47767254770780165,4.695525246589155,0.433712054762674,0.5216330406529294,778,Formal volunteer flag,Volunteer rate,AT,NA,NA
Personal income category,"$75,000 to $99,999",2018,fv1fvol,0.5392065599610095,5.905444176118217,0.4767963236955886,0.6016167962264305,458,Formal volunteer flag,Volunteer rate,AT,NA,NA
Personal income category,"$100,000 to $124,999",2018,fv1fvol,0.5963139488298184,9.188507795625725,0.48892290899935986,0.7037049886602769,129,Formal volunteer flag,Volunteer rate,AT,NA,NA
Personal income category,"$125,000 and more",2018,fv1fvol,0.5637024553286777,9.391399055651076,0.4599428497206327,0.6674620609367227,151,Formal volunteer flag,Volunteer rate,AT,NA,NA
Personal income category,"Less than $25,000",2018,fv1fvol,0.4204928822326724,6.450767243152118,0.36732882562321073,0.47365693884213406,616,Formal volunteer flag,Volunteer rate,BC,NA,NA
Personal income category,"$25,000 to $49,999",2018,fv1fvol,0.37674382606547857,6.924428887405554,0.3256135432994413,0.42787410883151583,607,Formal volunteer flag,Volunteer rate,BC,NA,NA
Personal income category,"$50,000 to $74,999",2018,fv1fvol,0.4806494111949776,6.992109402404536,0.414779857547103,0.5465189648428522,470,Formal volunteer flag,Volunteer rate,BC,NA,NA
Personal income category,"$75,000 to $99,999",2018,fv1fvol,0.487247770930841,8.694736040818848,0.4042140779299397,0.5702814639317423,226,Formal volunteer flag,Volunteer rate,BC,NA,NA
Personal income category,"$100,000 to $124,999",2018,fv1fvol,0.6839222061958816,9.183484176202784,0.560821008587111,0.8070234038046522,103,Formal volunteer flag,Volunteer rate,BC,NA,NA
Personal income category,"$125,000 and more",2018,fv1fvol,0.5336215380564945,9.639831467595783,0.43280056549042784,0.6344425106225611,155,Formal volunteer flag,Volunteer rate,BC,NA,NA
Personal income category,"Less than $25,000",2018,fv1fvol,0.41974319182555025,4.420889519607418,0.38337334989991534,0.4561130337511852,1205,Formal volunteer flag,Volunteer rate,ON,NA,NA
Personal income category,"$25,000 to $49,999",2018,fv1fvol,0.36464216119492054,4.7465879778412665,0.3307189850212771,0.398565337368564,1181,Formal volunteer flag,Volunteer rate,ON,NA,NA
Personal income category,"$50,000 to $74,999",2018,fv1fvol,0.4197969903824251,5.229911351240838,0.376765960615956,0.4628280201488941,870,Formal volunteer flag,Volunteer rate,ON,NA,NA
Personal income category,"$75,000 to $99,999",2018,fv1fvol,0.4408149678530418,6.050179530394553,0.3885425383630086,0.493087397343075,527,Formal volunteer flag,Volunteer rate,ON,NA,NA
Personal income category,"$100,000 to $124,999",2018,fv1fvol,0.4738555877987096,8.262024902475892,0.39712286714158984,0.5505883084558294,264,Formal volunteer flag,Volunteer rate,ON,NA,NA
Personal income category,"$125,000 and more",2018,fv1fvol,0.5755030811135818,6.23929042093625,0.5051260494520761,0.6458801127750876,299,Formal volunteer flag,Volunteer rate,ON,NA,NA
Personal income category,"Less than $25,000",2018,fv1fvol,0.5314874640313016,4.650709024237143,0.48304120077242585,0.5799337272901774,595,Formal volunteer flag,Volunteer rate,PR,NA,NA
Personal income category,"$25,000 to $49,999",2018,fv1fvol,0.4658331441998108,5.245868824384421,0.417937512766404,0.5137287756332176,686,Formal volunteer flag,Volunteer rate,PR,NA,NA
Personal income category,"$50,000 to $74,999",2018,fv1fvol,0.5035442968738613,6.080108952589923,0.4435379574507032,0.5635506362970193,420,Formal volunteer flag,Volunteer rate,PR,NA,NA
Personal income category,"$75,000 to $99,999",2018,fv1fvol,0.5867755355827096,6.980540817823246,0.5064952034698684,0.6670558676955507,262,Formal volunteer flag,Volunteer rate,PR,NA,NA
Personal income category,"$100,000 to $124,999",2018,fv1fvol,0.6478355924241809,9.868863537836924,0.5225272343278532,0.7731439505205085,87,Formal volunteer flag,Volunteer rate,PR,NA,NA
Personal income category,"$125,000 and more",2018,fv1fvol,0.4632189999450181,13.25862859654115,0.34284489777704685,0.5835931021129893,103,Formal volunteer flag,Volunteer rate,PR,NA,NA
Personal income category,"Less than $25,000",2018,fv1fvol,0.3422664596473295,7.483021451219113,0.29206811178305486,0.3924648075116041,566,Formal volunteer flag,Volunteer rate,QC,NA,NA
Personal income category,"$25,000 to $49,999",2018,fv1fvol,0.27568014822416287,7.549040125169358,0.2348909359364091,0.3164693605119166,681,Formal volunteer flag,Volunteer rate,QC,NA,NA
Personal income category,"$50,000 to $74,999",2018,fv1fvol,0.336985438052515,7.645363657169037,0.286489392013056,0.387481484091974,429,Formal volunteer flag,Volunteer rate,QC,NA,NA
Personal income category,"$75,000 to $99,999",2018,fv1fvol,0.3846416452511824,11.843346418371748,0.295356578583195,0.4739267119191698,181,Formal volunteer flag,Volunteer rate,QC,NA,NA
Personal income category,"$100,000 to $124,999",2018,fv1fvol,0.36554724762790447,16.588408907926063,0.24669802606152652,0.4843964691942824,77,Formal volunteer flag,Volunteer rate,QC,NA,*
Personal income category,"$125,000 and more",2018,fv1fvol,0.4029877379659284,18.45673504955729,0.25720879374345285,0.548766682188404,79,Formal volunteer flag,Volunteer rate,QC,NA,*
Frequency of religious attendance,At least once a week,2018,fv1fvol,0.6645957716103295,7.754131219372494,0.5635917163278826,0.7655998268927763,214,Formal volunteer flag,Volunteer rate,AB,NA,NA
Frequency of religious attendance,At least once a month,2018,fv1fvol,0.4510008948613776,15.049014108112182,0.3179758102144554,0.5840259795082998,109,Formal volunteer flag,Volunteer rate,AB,NA,NA
Frequency of religious attendance,At least 3 times a year,2018,fv1fvol,0.5356187045104505,14.3812774771095,0.3846450069932516,0.6865924020276493,93,Formal volunteer flag,Volunteer rate,AB,NA,NA
Frequency of religious attendance,Once or twice a year,2018,fv1fvol,0.4563701195976216,11.302536640084044,0.35527243336091024,0.5574678058343331,166,Formal volunteer flag,Volunteer rate,AB,NA,NA
Frequency of religious attendance,Not at all,2018,fv1fvol,0.3566822630167879,6.5619942661510295,0.31080838546636536,0.4025561405672105,706,Formal volunteer flag,Volunteer rate,AB,NA,NA
Frequency of religious attendance,At least once a week,2018,fv1fvol,0.6145072979240335,4.310146593616668,0.5625953677122243,0.6664192281358426,674,Formal volunteer flag,Volunteer rate,AT,NA,NA
Frequency of religious attendance,At least once a month,2018,fv1fvol,0.5694066110029716,6.390948989141046,0.49808256896507086,0.6407306530408724,323,Formal volunteer flag,Volunteer rate,AT,NA,NA
Frequency of religious attendance,At least 3 times a year,2018,fv1fvol,0.5312371155668337,6.156862336864353,0.46713151928380775,0.5953427118498598,357,Formal volunteer flag,Volunteer rate,AT,NA,NA
Frequency of religious attendance,Once or twice a year,2018,fv1fvol,0.5089818719664486,5.976244931526609,0.44936368096629214,0.5686000629666051,590,Formal volunteer flag,Volunteer rate,AT,NA,NA
Frequency of religious attendance,Not at all,2018,fv1fvol,0.3181953282650681,4.7804569976409,0.28838194206412315,0.348008714466013,1773,Formal volunteer flag,Volunteer rate,AT,NA,NA
Frequency of religious attendance,At least once a week,2018,fv1fvol,0.6284504236725444,7.014389302913046,0.5420513710918743,0.7148494762532146,279,Formal volunteer flag,Volunteer rate,BC,NA,NA
Frequency of religious attendance,At least once a month,2018,fv1fvol,0.5747066970089685,12.607368954771392,0.43269673487188465,0.7167166591460523,110,Formal volunteer flag,Volunteer rate,BC,NA,NA
Frequency of religious attendance,At least 3 times a year,2018,fv1fvol,0.4714584931447738,17.055457414629764,0.3138589601755041,0.6290580261140435,122,Formal volunteer flag,Volunteer rate,BC,NA,*
Frequency of religious attendance,Once or twice a year,2018,fv1fvol,0.4983559017201446,9.54960976620035,0.4050791697657172,0.591632633674572,214,Formal volunteer flag,Volunteer rate,BC,NA,NA
Frequency of religious attendance,Not at all,2018,fv1fvol,0.36225161448937887,4.668827185053905,0.3291029359783877,0.3954002930003701,1283,Formal volunteer flag,Volunteer rate,BC,NA,NA
Frequency of religious attendance,At least once a week,2018,fv1fvol,0.6208798373805915,4.070011525367614,0.5713517808444317,0.6704078939167513,701,Formal volunteer flag,Volunteer rate,ON,NA,NA
Frequency of religious attendance,At least once a month,2018,fv1fvol,0.49790412970573106,7.447132042493436,0.4252294922947282,0.5705787671167339,382,Formal volunteer flag,Volunteer rate,ON,NA,NA
Frequency of religious attendance,At least 3 times a year,2018,fv1fvol,0.3842614747363351,8.388157843374392,0.3210870159001349,0.4474359335725354,394,Formal volunteer flag,Volunteer rate,ON,NA,NA
Frequency of religious attendance,Once or twice a year,2018,fv1fvol,0.38267668100555,7.33402060629752,0.3276691419852943,0.4376842200258057,573,Formal volunteer flag,Volunteer rate,ON,NA,NA
Frequency of religious attendance,Not at all,2018,fv1fvol,0.3337882987143591,4.221165069105117,0.3061728862259906,0.3614037112027276,1978,Formal volunteer flag,Volunteer rate,ON,NA,NA
Frequency of religious attendance,At least once a week,2018,fv1fvol,0.7159497344653792,4.16782332987632,0.657465349825477,0.7744341191052815,352,Formal volunteer flag,Volunteer rate,PR,NA,NA
Frequency of religious attendance,At least once a month,2018,fv1fvol,0.6561756194555308,6.836460824521463,0.5682532243181502,0.7440980145929115,182,Formal volunteer flag,Volunteer rate,PR,NA,NA
Frequency of religious attendance,At least 3 times a year,2018,fv1fvol,0.5640860800210937,8.91013930610243,0.46557661333794786,0.6625955467042396,159,Formal volunteer flag,Volunteer rate,PR,NA,NA
Frequency of religious attendance,Once or twice a year,2018,fv1fvol,0.5555157470243262,6.863440384683204,0.48078723563938897,0.6302442584092633,262,Formal volunteer flag,Volunteer rate,PR,NA,NA
Frequency of religious attendance,Not at all,2018,fv1fvol,0.3861276540890198,5.2146673392071,0.3466632448458897,0.4255920633321499,1009,Formal volunteer flag,Volunteer rate,PR,NA,NA
Frequency of religious attendance,At least once a week,2018,fv1fvol,0.4175161585903915,11.786905038673655,0.3210619540486344,0.5139703631321486,163,Formal volunteer flag,Volunteer rate,QC,NA,NA
Frequency of religious attendance,At least once a month,2018,fv1fvol,0.437509917044921,14.1594895912333,0.31609177269021926,0.5589280613996227,102,Formal volunteer flag,Volunteer rate,QC,NA,NA
Frequency of religious attendance,At least 3 times a year,2018,fv1fvol,0.36837956460055393,11.844635503081182,0.2828600313491669,0.453899097851941,172,Formal volunteer flag,Volunteer rate,QC,NA,NA
Frequency of religious attendance,Once or twice a year,2018,fv1fvol,0.35764553814287825,9.150817001942672,0.29350083896474405,0.4217902373210125,359,Formal volunteer flag,Volunteer rate,QC,NA,NA
Frequency of religious attendance,Not at all,2018,fv1fvol,0.28711011878655535,6.199193538607346,0.2522256764204411,0.3219945611526696,1071,Formal volunteer flag,Volunteer rate,QC,NA,NA
Immigration status,Native-born,2018,fv1fvol,0.4674883129766595,4.327398375692098,0.42783808151424274,0.5071385444390764,1039,Formal volunteer flag,Volunteer rate,AB,NA,NA
Immigration status,Naturalized,2018,fv1fvol,0.3823907414731972,10.427291863014396,0.30424110012329575,0.4605403828230986,244,Formal volunteer flag,Volunteer rate,AB,NA,NA
Immigration status,Non-Canadian,2018,fv1fvol,0.33106172732391925,40.288693600632506,0.06964085897902123,0.5924825956688173,23,Formal volunteer flag,Volunteer rate,AB,NA,...
Immigration status,Unknown,2018,fv1fvol,0.631497605889404,9.968874897053045,0.5081115888124448,0.7548836229663631,106,Formal volunteer flag,Volunteer rate,AB,NA,NA
Immigration status,Native-born,2018,fv1fvol,0.43240477520650544,2.573107742395229,0.41059774405450594,0.45421180635850494,3527,Formal volunteer flag,Volunteer rate,AT,NA,NA
Immigration status,Naturalized,2018,fv1fvol,0.35535161362439244,16.59830079981445,0.23974837163643892,0.4709548556123459,114,Formal volunteer flag,Volunteer rate,AT,NA,*
Immigration status,Non-Canadian,2018,fv1fvol,0.4710775677690648,28.59325310850318,0.20707747239431537,0.7350776631438143,30,Formal volunteer flag,Volunteer rate,AT,NA,*
Immigration status,Unknown,2018,fv1fvol,0.5746376191862389,5.837439376611423,0.508892346889053,0.6403828914834248,377,Formal volunteer flag,Volunteer rate,AT,NA,NA
Immigration status,Native-born,2018,fv1fvol,0.467811603666052,3.9128606738703007,0.43193482303783326,0.5036883842942708,1417,Formal volunteer flag,Volunteer rate,BC,NA,NA
Immigration status,Naturalized,2018,fv1fvol,0.37353479325851136,7.650670319480746,0.3175231080061897,0.429546478510833,548,Formal volunteer flag,Volunteer rate,BC,NA,NA
Immigration status,Non-Canadian,2018,fv1fvol,0.3864414676991507,20.04882896734565,0.23458935978945197,0.5382935756088495,68,Formal volunteer flag,Volunteer rate,BC,NA,*
Immigration status,Unknown,2018,fv1fvol,0.5121196795206311,12.393695228488756,0.38771968296336,0.6365196760779022,144,Formal volunteer flag,Volunteer rate,BC,NA,NA
Immigration status,Native-born,2018,fv1fvol,0.438827234533988,2.959896761680881,0.41336958944826974,0.4642848796197063,2802,Formal volunteer flag,Volunteer rate,ON,NA,NA
Immigration status,Naturalized,2018,fv1fvol,0.3314964102551072,5.405284863867572,0.29637713802777793,0.3666156824824364,1147,Formal volunteer flag,Volunteer rate,ON,NA,NA
Immigration status,Non-Canadian,2018,fv1fvol,0.4336695198399078,14.29374705276798,0.31217600889939984,0.5551630307804158,120,Formal volunteer flag,Volunteer rate,ON,NA,NA
Immigration status,Unknown,2018,fv1fvol,0.5790171596841639,7.1010269929609,0.4984309574877765,0.6596033618805514,277,Formal volunteer flag,Volunteer rate,ON,NA,NA
Immigration status,Native-born,2018,fv1fvol,0.5184787189059273,2.9805960115446553,0.4881899136878791,0.5487675241239756,1687,Formal volunteer flag,Volunteer rate,PR,NA,NA
Immigration status,Naturalized,2018,fv1fvol,0.4944070631844191,8.206184973779273,0.41488748647059936,0.5739266398982389,227,Formal volunteer flag,Volunteer rate,PR,NA,NA
Immigration status,Non-Canadian,2018,fv1fvol,0.4303502022882853,30.040350718003975,0.17696858655773084,0.6837318180188396,33,Formal volunteer flag,Volunteer rate,PR,NA,*
